Gene	Cytoband	(A) Basal-Like 1	(B) Mesenchymal	(A) Basal-Like 1	(B) Mesenchymal	Log2 Ratio	p-Value	q-Value	Higher expression in
ART3	4q21.1	2.36	0.54	0.37	0.92	1.82	2.098e-4	0.692	(A) Basal-Like 1
NELL1	11p15.1	2.24	0.57	1.19	0.49	1.67	0.121	0.697	(A) Basal-Like 1
MOG	6p22.1	2.22	0.62	0.76	1.06	1.59	9.622e-3	0.692	(A) Basal-Like 1
CXORF49	Xq13.1	1.77	0.20	0.91	0.49	1.57	3.002e-3	0.692	(A) Basal-Like 1
RFX4	12q23.3	1.62	0.11	0.17	0.16	1.52	0.0130	0.692	(A) Basal-Like 1
TLX1	10q24.31	1.65	0.22	0.73	0.38	1.43	1.294e-3	0.692	(A) Basal-Like 1
RNF182	6p23	1.51	0.13	0.97	0.24	1.39	0.0167	0.692	(A) Basal-Like 1
CTAG1B	Xq28	1.79	0.43	1.76	0.39	1.36	0.310	0.780	(A) Basal-Like 1
RPRML	17q21.32	1.70	0.34	1.09	0.44	1.36	0.0475	0.692	(A) Basal-Like 1
CTAG1A	Xq28	1.72	0.40	1.65	0.57	1.32	0.303	0.775	(A) Basal-Like 1
TM4SF4	3q25.1	1.44	0.13	1.25	0.27	1.32	0.0490	0.692	(A) Basal-Like 1
MYBPH	1q32.1	1.66	0.36	0.42	0.69	1.30	7.938e-4	0.692	(A) Basal-Like 1
CXORF49B	Xq13.1	1.76	0.51	0.97	0.86	1.25	0.0320	0.692	(A) Basal-Like 1
LMX1A	1q23.3	1.48	0.24	1.03	0.39	1.24	0.0917	0.692	(A) Basal-Like 1
LINP1	10p14	2.06	0.82	1.46	1.16	1.24	0.0932	0.692	(A) Basal-Like 1
PRSS3	9p13.3	1.53	0.30	0.74	0.52	1.24	3.547e-3	0.692	(A) Basal-Like 1
RP1	8q11.23-q12.1	1.36	0.17	0.21	0.47	1.20	3.515e-4	0.692	(A) Basal-Like 1
SIM1	6q16.3	1.36	0.17	1.28	0.38	1.18	0.0510	0.692	(A) Basal-Like 1
SLC52A1	17p13.2	1.55	0.37	1.23	0.83	1.18	0.0536	0.692	(A) Basal-Like 1
SLC26A9	1q32.1	1.57	0.41	0.89	0.77	1.16	0.0176	0.692	(A) Basal-Like 1
PACRG-AS1	6q26	1.20	0.03	0.86	0.06	1.16	0.0738	0.692	(A) Basal-Like 1
CCDC166	8q24.3	1.45	0.31	0.55	0.61	1.14	5.211e-3	0.692	(A) Basal-Like 1
ACSL6	5q31.1	1.73	0.61	0.86	0.93	1.12	0.0263	0.692	(A) Basal-Like 1
CA8	8q12.1	1.52	0.42	1.10	0.84	1.10	0.0495	0.692	(A) Basal-Like 1
SYCP1	1p13.2	1.61	0.53	0.87	0.71	1.08	0.286	0.766	(A) Basal-Like 1
ZIC2	13q32.3	1.34	0.26	1.05	0.65	1.08	0.0606	0.692	(A) Basal-Like 1
MYH15	3q13.13	1.18	0.10	0.79	0.25	1.08	0.0106	0.692	(A) Basal-Like 1
OLIG2	21q22.11	1.64	0.58	0.35	0.96	1.07	0.109	0.692	(A) Basal-Like 1
LINC01508	9q22.2	1.57	0.50	0.71	0.73	1.07	0.0110	0.692	(A) Basal-Like 1
OBP2B	9q34.2	1.41	0.36	1.33	0.83	1.05	0.0999	0.692	(A) Basal-Like 1
RIPPLY2	6q14.2	1.65	0.62	1.12	0.88	1.03	0.317	0.783	(A) Basal-Like 1
CYP26A1	10q23.33	1.39	0.37	0.91	0.97	1.02	0.0941	0.692	(A) Basal-Like 1
LEMD1	1q32.1	1.91	0.89	0.58	0.98	1.02	0.0317	0.692	(A) Basal-Like 1
FAM72C	1q21.1	1.77	0.75	0.82	0.94	1.02	0.0372	0.692	(A) Basal-Like 1
FIGLA	2p13.3	1.49	0.48	0.26	0.57	1.01	0.0310	0.692	(A) Basal-Like 1
KCNQ2	20q13.33	1.87	0.87	1.37	1.25	1.00	0.261	0.756	(A) Basal-Like 1
LINC02902	7p12.3	1.04	0.05	0.10	0.08	1.00	0.0108	0.692	(A) Basal-Like 1
FAM72D	1q21.1	1.39	0.40	0.43	0.62	0.99	2.063e-3	0.692	(A) Basal-Like 1
CALML5	10p15.1	1.58	0.59	1.09	0.91	0.99	0.0775	0.692	(A) Basal-Like 1
AKT3	1q43-q44	1.14	0.16	0.56	0.45	0.99	2.839e-3	0.692	(A) Basal-Like 1
CCL15	17q12	1.00	0.02	1.15	0.03	0.99	0.440	0.831	(A) Basal-Like 1
GABRP	5q35.1	1.43	0.44	0.65	0.62	0.98	9.448e-3	0.692	(A) Basal-Like 1
LMO1	11p15.4	2.02	1.04	0.77	1.19	0.98	0.0796	0.692	(A) Basal-Like 1
LHX1	17q12	1.69	0.72	0.99	1.25	0.97	0.322	0.787	(A) Basal-Like 1
