Gene	Cytoband	(A) Immunomodulatory	(B) Luminal Androgen Receptor	(A) Immunomodulatory	(B) Luminal Androgen Receptor	Log2 Ratio	p-Value	q-Value	Higher expression in
CALHM6	6q22.1	1.43	0.12	0.36	0.22	1.30	2.538e-4	0.0498	(A) Immunomodulatory
IDO1	8p11.21	1.41	0.18	0.67	0.30	1.24	2.733e-3	0.192	(A) Immunomodulatory
LINC00525	7p12.3	1.26	0.05	0.55	0.09	1.21	2.503e-3	0.186	(A) Immunomodulatory
CCL25	19p13.2	1.24	0.05	0.69	0.08	1.19	1.684e-3	0.150	(A) Immunomodulatory
UBD	6p22.1	1.63	0.47	0.52	0.53	1.16	0.0357	0.429	(A) Immunomodulatory
GBP1P1	1p22.2	1.28	0.13	0.45	0.22	1.15	5.612e-4	0.0760	(A) Immunomodulatory
CCL8	17q12	1.30	0.17	0.61	0.30	1.13	3.538e-3	0.221	(A) Immunomodulatory
AMY1B	1p21.1	1.18	0.05	0.18	0.09	1.13	1.732e-4	0.0384	(A) Immunomodulatory
GZMH	14q12	1.33	0.21	0.65	0.36	1.12	8.761e-3	0.328	(A) Immunomodulatory
SOCS3	17q25.3	1.13	0.01	0.38	0.02	1.11	6.744e-5	0.0254	(A) Immunomodulatory
LAG3	12p13.31	1.32	0.21	0.72	0.36	1.11	0.0103	0.348	(A) Immunomodulatory
CCL11	17q12	1.14	0.05	0.82	0.08	1.09	6.803e-3	0.296	(A) Immunomodulatory
HTR3E	3q27.1	1.14	0.05	1.29	0.07	1.09	0.443	0.792	(A) Immunomodulatory
DMRTA1	9p21.3	1.14	0.05	0.85	0.09	1.09	8.397e-3	0.325	(A) Immunomodulatory
LAMP3	3q27.1	1.29	0.23	0.44	0.36	1.06	0.0118	0.361	(A) Immunomodulatory
ADGRE1	19p13.3-p13.2	1.23	0.18	0.67	0.32	1.05	8.008e-3	0.317	(A) Immunomodulatory
ACOD1	13q22.3	1.08	0.04	0.62	0.07	1.04	3.911e-3	0.233	(A) Immunomodulatory
NKG7	19q13.41	1.45	0.42	0.52	0.72	1.04	0.112	0.505	(A) Immunomodulatory
PGLYRP2	19p13.12	1.30	0.27	0.47	0.35	1.03	0.0121	0.363	(A) Immunomodulatory
IL6	7p15.3	1.41	0.39	0.48	0.67	1.03	0.0991	0.491	(A) Immunomodulatory
GZMB	14q12	1.60	0.58	0.31	0.69	1.02	0.117	0.509	(A) Immunomodulatory
KRT32	17q21.2	1.06	0.05	0.88	0.07	1.01	0.103	0.496	(A) Immunomodulatory
OASL	12q24.31	1.25	0.25	0.78	0.44	1.00	0.0330	0.429	(A) Immunomodulatory
HERC5	4q22.1	1.15	0.15	0.54	0.27	0.99	4.082e-3	0.235	(A) Immunomodulatory
ISG15	1p36.33	1.05	0.07	0.72	0.11	0.99	5.924e-3	0.280	(A) Immunomodulatory
NLRP7	19q13.42	1.37	0.40	0.67	0.61	0.97	0.0851	0.479	(A) Immunomodulatory
NLRP2	19q13.42	1.15	0.18	0.73	0.32	0.97	0.0145	0.382	(A) Immunomodulatory
FDCSP	4q13.3	0.98	0.01	1.17	0.02	0.97	0.0525	0.446	(A) Immunomodulatory
WARS1	14q32.2	0.98	0.02	0.60	0.03	0.96	2.775e-3	0.192	(A) Immunomodulatory
ANKRD30B	18p11.21	1.45	0.50	1.12	0.86	0.95	0.202	0.614	(A) Immunomodulatory
TMPRSS4	11q23.3	1.10	0.15	0.81	0.21	0.95	0.0346	0.429	(A) Immunomodulatory
CXCL10	4q21.1	1.57	0.62	0.42	0.55	0.95	0.0736	0.472	(A) Immunomodulatory
IFITM1	11p15.5	0.98	0.04	0.59	0.07	0.94	2.602e-3	0.189	(A) Immunomodulatory
GBP5	1p22.2	1.36	0.43	0.46	0.59	0.94	0.0915	0.485	(A) Immunomodulatory
SLCO1A2	12p12.1	1.13	0.19	0.98	0.34	0.94	0.0436	0.433	(A) Immunomodulatory
CLEC4E	12p13.31	1.27	0.33	0.64	0.58	0.93	0.0808	0.478	(A) Immunomodulatory
IFNG	12q15	1.53	0.59	0.69	0.52	0.93	0.0609	0.454	(A) Immunomodulatory
CCL5	17q12	1.33	0.40	0.71	0.70	0.92	0.129	0.527	(A) Immunomodulatory
MYH6	14q11.2	0.99	0.07	0.56	0.10	0.92	0.0191	0.400	(A) Immunomodulatory
FSD1	19p13.3	0.92	0.00	0.55	0.00	0.92	2.032e-3	0.165	(A) Immunomodulatory
PSMB9	6p21.32	1.15	0.23	0.36	0.40	0.92	0.0354	0.429	(A) Immunomodulatory
BRINP2	1q25.2	1.23	0.31	1.03	0.53	0.92	0.121	0.517	(A) Immunomodulatory
SLC8A1-AS1	2p22.1	1.21	0.29	0.43	0.50	0.92	0.0626	0.454	(A) Immunomodulatory
GBP1	1p22.2	1.26	0.35	0.24	0.60	0.91	0.114	0.505	(A) Immunomodulatory
LDLRAD2	1p36.12	0.92	0.01	0.72	0.02	0.90	9.239e-3	0.336	(A) Immunomodulatory
PPP1R14C	6q25.1	0.98	0.08	0.62	0.14	0.90	4.181e-3	0.238	(A) Immunomodulatory
MIXL1	1q42.12	1.27	0.38	0.74	0.56	0.90	0.0838	0.478	(A) Immunomodulatory
CCL24	7q11.23	0.93	0.04	0.66	0.05	0.89	0.0731	0.471	(A) Immunomodulatory
TAP1	6p21.32	1.09	0.20	0.44	0.20	0.89	1.739e-3	0.154	(A) Immunomodulatory
TNFRSF8	1p36.22	0.93	0.04	0.57	0.07	0.89	2.894e-3	0.197	(A) Immunomodulatory
CXCL1	4q13.3	1.40	0.52	0.58	0.89	0.89	0.219	0.630	(A) Immunomodulatory
PROSER2-AS1	10p14	0.89	0.01	1.17	0.02	0.88	0.0940	0.486	(A) Immunomodulatory
BRINP1	9q33.1	0.99	0.11	1.13	0.18	0.88	0.0666	0.462	(A) Immunomodulatory
ISG20	15q26.1	1.20	0.33	0.40	0.48	0.87	0.0656	0.462	(A) Immunomodulatory
IL32	16p13.3	1.01	0.14	0.50	0.24	0.87	5.080e-3	0.263	(A) Immunomodulatory
CXCR2P1	2q35	1.32	0.45	0.76	0.54	0.87	0.0866	0.481	(A) Immunomodulatory
KBTBD12	3q21.3	1.15	0.28	1.13	0.48	0.87	0.128	0.525	(A) Immunomodulatory
CXCL11	4q21.1	1.49	0.63	0.45	0.68	0.86	0.145	0.553	(A) Immunomodulatory
CH25H	10q23.31	1.26	0.41	0.38	0.71	0.85	0.164	0.575	(A) Immunomodulatory
BATF2	11q13.1	1.05	0.20	0.61	0.26	0.85	0.0104	0.350	(A) Immunomodulatory
GATA5	20q13.33	1.31	0.47	1.86	0.81	0.85	0.634	0.881	(A) Immunomodulatory
TAP2	6p21.32	0.85	0.00	0.50	0.00	0.85	1.944e-3	0.160	(A) Immunomodulatory
CLEC4D	12p13.31	1.13	0.29	0.62	0.51	0.84	0.0765	0.475	(A) Immunomodulatory
SAA2-SAA4	11p15.1	1.09	0.25	0.92	0.43	0.84	0.0877	0.484	(A) Immunomodulatory
IL15RA	10p15.1	0.97	0.14	0.54	0.23	0.84	6.634e-3	0.292	(A) Immunomodulatory
BFSP2	3q22.1	1.34	0.50	0.45	0.84	0.84	0.218	0.628	(A) Immunomodulatory
IFI44L	1p31.1	1.04	0.20	0.71	0.35	0.84	0.0335	0.429	(A) Immunomodulatory
COL6A5	3q22.1	1.69	0.86	0.87	1.00	0.84	0.287	0.689	(A) Immunomodulatory
PRF1	10q22.1	1.19	0.35	0.58	0.48	0.83	0.0687	0.465	(A) Immunomodulatory
IFIT1	10q23.31	0.88	0.04	0.65	0.08	0.83	8.332e-3	0.325	(A) Immunomodulatory
POMC	2p23.3	1.00	0.18	0.38	0.20	0.82	2.341e-3	0.179	(A) Immunomodulatory
CCL4	17q12	1.37	0.55	0.38	0.96	0.82	0.273	0.678	(A) Immunomodulatory
BNC1	15q25.2	1.02	0.20	0.99	0.35	0.82	0.0751	0.474	(A) Immunomodulatory
ZBP1	20q13.31	1.47	0.65	0.36	0.54	0.82	0.104	0.496	(A) Immunomodulatory
OTOF	2p23.3	1.02	0.21	0.69	0.36	0.81	0.0375	0.429	(A) Immunomodulatory
SLC2A14	12p13.31	1.20	0.39	0.89	0.68	0.81	0.184	0.594	(A) Immunomodulatory
GBP6	1p22.2	1.14	0.33	0.56	0.30	0.81	0.0170	0.394	(A) Immunomodulatory
ANKRD22	10q23.31	1.15	0.35	0.61	0.46	0.80	0.0668	0.462	(A) Immunomodulatory
IFI35	17q21.31	0.85	0.05	0.49	0.08	0.80	2.120e-3	0.169	(A) Immunomodulatory
CXCR6	3p21.31	1.42	0.62	0.46	0.89	0.80	0.253	0.660	(A) Immunomodulatory
PLSCR1	3q24	0.83	0.02	0.22	0.04	0.80	1.056e-5	9.321e-3	(A) Immunomodulatory
KIR3DL2	19q13.42	0.88	0.08	0.52	0.11	0.80	3.833e-3	0.231	(A) Immunomodulatory
PSMB8	6p21.32	0.91	0.11	0.21	0.14	0.80	5.266e-4	0.0749	(A) Immunomodulatory
IFIT2	10q23.31	1.00	0.20	0.67	0.35	0.80	0.0358	0.429	(A) Immunomodulatory
OAS2	12q24.13	0.97	0.18	0.56	0.31	0.80	0.0206	0.411	(A) Immunomodulatory
ALAS2	Xp11.21	0.90	0.11	1.29	0.15	0.80	0.243	0.651	(A) Immunomodulatory
ANKRD1	10q23.31	0.94	0.15	0.97	0.26	0.79	0.0629	0.454	(A) Immunomodulatory
KLRC1	12p13	1.17	0.38	0.68	0.28	0.79	0.0233	0.414	(A) Immunomodulatory
HERC6	4q22.1	0.85	0.06	0.55	0.10	0.79	4.245e-3	0.240	(A) Immunomodulatory
ADAMDEC1	8p21.2	1.31	0.52	0.52	0.72	0.79	0.184	0.594	(A) Immunomodulatory
CCL7	17q12	0.82	0.02	0.79	0.04	0.79	0.0257	0.426	(A) Immunomodulatory
KRT5	12q13.13	0.86	0.07	0.78	0.13	0.79	0.0249	0.422	(A) Immunomodulatory
SDAD1-AS1	4q21.1	0.92	0.13	0.66	0.23	0.79	0.0169	0.393	(A) Immunomodulatory
SLC38A5	Xp11.23	0.86	0.08	0.62	0.13	0.78	9.360e-3	0.337	(A) Immunomodulatory
IFIT3	10q23.31	0.93	0.14	0.62	0.25	0.78	0.0164	0.390	(A) Immunomodulatory
PEG3	19q13.43	0.83	0.05	1.17	0.08	0.78	0.102	0.496	(A) Immunomodulatory
CCL2	17q12	0.89	0.11	0.45	0.19	0.78	3.027e-3	0.201	(A) Immunomodulatory
KLRC3	12p13.2	1.12	0.34	0.60	0.59	0.78	0.132	0.531	(A) Immunomodulatory
IFI6	1p35.3	0.85	0.07	0.56	0.12	0.78	5.584e-3	0.274	(A) Immunomodulatory
HLA-B	6p21.33	0.88	0.10	0.64	0.18	0.78	0.0120	0.362	(A) Immunomodulatory
