Gene	Cytoband	(A) Immunomodulatory	(B) Mesenchymal	(A) Immunomodulatory	(B) Mesenchymal	Log2 Ratio	p-Value	q-Value	Higher expression in
TNFRSF13B	17p11.2	1.58	0.04	0.18	0.11	1.55	1.96e-10	3.839e-6	(A) Immunomodulatory
CD19	16p11.2	1.72	0.05	0.22	0.15	1.67	4.33e-10	4.241e-6	(A) Immunomodulatory
P2RY10	Xq21.1	1.52	0.07	0.23	0.20	1.45	1.32e-9	8.639e-6	(A) Immunomodulatory
BLK	8p23.1	1.45	0.09	0.22	0.27	1.36	9.29e-9	4.548e-5	(A) Immunomodulatory
CD52	1p36.11	1.27	0.12	0.20	0.23	1.15	1.48e-8	5.166e-5	(A) Immunomodulatory
CXCL13	4q21.1	1.87	0.12	0.33	0.29	1.75	1.58e-8	5.166e-5	(A) Immunomodulatory
NAPSB	19q13.33	1.19	0.08	0.22	0.17	1.11	2.84e-8	7.948e-5	(A) Immunomodulatory
CCL19	9p13.3	1.81	0.18	0.18	0.36	1.62	5.79e-8	1.416e-4	(A) Immunomodulatory
CD48	1q23.3	1.39	0.03	0.24	0.09	1.36	9.81e-8	2.134e-4	(A) Immunomodulatory
CD3D	11q23.3	1.51	0.10	0.32	0.24	1.41	1.41e-7	2.753e-4	(A) Immunomodulatory
CD79B	17q23.3	1.38	0.10	0.29	0.23	1.28	1.64e-7	2.922e-4	(A) Immunomodulatory
TRAT1	3q13.13	1.43	0.04	0.25	0.08	1.39	2.09e-7	3.305e-4	(A) Immunomodulatory
SIRPG	20p13	1.40	0.09	0.31	0.22	1.31	2.19e-7	3.305e-4	(A) Immunomodulatory
GPR171	3q25.1	1.50	0.18	0.25	0.36	1.33	3.50e-7	4.689e-4	(A) Immunomodulatory
STAP1	4q13.2	1.55	0.05	0.29	0.11	1.50	3.59e-7	4.689e-4	(A) Immunomodulatory
S1PR4	19p13.3	1.26	0.07	0.28	0.16	1.19	3.90e-7	4.712e-4	(A) Immunomodulatory
GZMB	14q12	1.60	0.20	0.31	0.37	1.40	4.36e-7	4.745e-4	(A) Immunomodulatory
PSMB8	6p21.32	0.91	0.06	0.21	0.17	0.84	4.64e-7	4.784e-4	(A) Immunomodulatory
ARHGAP15	2q22.2-q22.3	1.18	0.09	0.28	0.19	1.09	7.83e-7	7.051e-4	(A) Immunomodulatory
LTB	6p21.33	1.58	0.21	0.27	0.40	1.37	8.38e-7	7.051e-4	(A) Immunomodulatory
CD247	1q24.2	1.25	0.06	0.30	0.17	1.20	8.51e-7	7.051e-4	(A) Immunomodulatory
SLAMF1	1q23.3	1.46	0.07	0.31	0.12	1.39	1.062e-6	8.314e-4	(A) Immunomodulatory
ZBP1	20q13.31	1.47	0.12	0.36	0.35	1.35	1.174e-6	8.839e-4	(A) Immunomodulatory
FCRLA	1q23.3	1.52	0.01	0.29	0.03	1.51	1.370e-6	9.933e-4	(A) Immunomodulatory
TIGIT	3q13.31	1.42	0.20	0.33	0.30	1.22	1.431e-6	9.998e-4	(A) Immunomodulatory
LGR4-AS1	11p14.1	0.62	0.01	0.02	0.02	0.61	1.597e-6	9.998e-4	(A) Immunomodulatory
SH2D1A	Xq25	1.44	0.06	0.36	0.19	1.38	1.682e-6	9.998e-4	(A) Immunomodulatory
ICOS	2q33.2	1.58	0.20	0.35	0.40	1.38	1.737e-6	9.998e-4	(A) Immunomodulatory
PSMB8-AS1	6p21.32	1.05	0.11	0.22	0.29	0.94	1.907e-6	1.037e-3	(A) Immunomodulatory
LINC01215	3q13.12	1.39	0.06	0.32	0.11	1.34	1.987e-6	1.051e-3	(A) Immunomodulatory
CXCL10	4q21.1	1.57	0.10	0.42	0.29	1.48	2.164e-6	1.115e-3	(A) Immunomodulatory
LY9	1q23.3	1.45	0.00	0.29	0.01	1.45	2.232e-6	1.120e-3	(A) Immunomodulatory
CD2	1p13.1	1.41	0.11	0.36	0.21	1.30	2.472e-6	1.210e-3	(A) Immunomodulatory
CCR7	17q21.2	1.46	0.16	0.38	0.30	1.30	2.650e-6	1.235e-3	(A) Immunomodulatory
ACAP1	17p13.1	1.35	0.06	0.34	0.16	1.29	2.780e-6	1.266e-3	(A) Immunomodulatory
LTA	6p21.33	1.25	0.03	0.29	0.09	1.22	2.884e-6	1.283e-3	(A) Immunomodulatory
IL2RG	Xq13.1	1.30	0.11	0.35	0.22	1.19	2.990e-6	1.301e-3	(A) Immunomodulatory
TRG-AS1	7p14.1	1.26	0.01	0.27	0.03	1.25	3.122e-6	1.329e-3	(A) Immunomodulatory
CD27	12p13.31	1.49	0.05	0.36	0.12	1.44	3.244e-6	1.351e-3	(A) Immunomodulatory
TMIGD2	19p13.3	1.35	0.13	0.36	0.24	1.23	3.378e-6	1.367e-3	(A) Immunomodulatory
LAT	16p11.2	1.18	0.09	0.30	0.14	1.09	3.644e-6	1.418e-3	(A) Immunomodulatory
GBP2	1p22.2	0.99	0.05	0.27	0.14	0.94	3.695e-6	1.418e-3	(A) Immunomodulatory
IL7R	5p13.2	1.33	0.08	0.37	0.25	1.25	3.864e-6	1.438e-3	(A) Immunomodulatory
LIMD2	17q23.3	0.97	0.05	0.27	0.16	0.92	3.892e-6	1.438e-3	(A) Immunomodulatory
CD69	12p13.31	1.64	0.23	0.43	0.34	1.41	4.035e-6	1.463e-3	(A) Immunomodulatory
P2RX5	17p13.2	1.28	0.12	0.32	0.37	1.16	4.771e-6	1.668e-3	(A) Immunomodulatory
PLD4	14q32.33	1.28	0.17	0.34	0.27	1.10	5.057e-6	1.736e-3	(A) Immunomodulatory
NCR3	6p21.33	1.30	0.07	0.36	0.17	1.23	5.250e-6	1.742e-3	(A) Immunomodulatory
PRKCB	16p12.2-p12.1	1.18	0.04	0.31	0.11	1.14	5.383e-6	1.756e-3	(A) Immunomodulatory
ZAP70	2q11.2	1.35	0.05	0.37	0.15	1.30	5.837e-6	1.868e-3	(A) Immunomodulatory
HLA-DOB	6p21.32	1.31	0.09	0.38	0.26	1.23	5.941e-6	1.868e-3	(A) Immunomodulatory
BANK1	4q24	1.32	0.03	0.33	0.08	1.29	6.011e-6	1.868e-3	(A) Immunomodulatory
SP140	2q37.1	1.44	0.02	0.35	0.06	1.42	6.116e-6	1.871e-3	(A) Immunomodulatory
CTLA4	2q33.2	1.56	0.25	0.37	0.43	1.31	6.486e-6	1.953e-3	(A) Immunomodulatory
TLR10	4p14	1.26	0.03	0.32	0.08	1.23	6.822e-6	1.993e-3	(A) Immunomodulatory
PLAC8	4q21.22	1.52	0.23	0.40	0.38	1.29	6.947e-6	2.000e-3	(A) Immunomodulatory
PIM2	Xp11.23	1.53	0.14	0.44	0.32	1.39	7.148e-6	2.028e-3	(A) Immunomodulatory
CCL4	17q12	1.37	0.06	0.38	0.15	1.32	7.664e-6	2.143e-3	(A) Immunomodulatory
CORO1A	16p11.2	1.22	0.01	0.30	0.03	1.21	8.452e-6	2.330e-3	(A) Immunomodulatory
GIMAP5	7q36.1	1.16	0.09	0.34	0.19	1.07	9.089e-6	2.471e-3	(A) Immunomodulatory
ABCD2	12q12	1.04	0.07	0.31	0.16	0.97	9.525e-6	2.519e-3	(A) Immunomodulatory
GZMM	19p13.3	1.35	0.01	0.34	0.03	1.34	9.746e-6	2.544e-3	(A) Immunomodulatory
CYTIP	2q24.1	1.41	0.04	0.38	0.11	1.38	9.967e-6	2.567e-3	(A) Immunomodulatory
USP30-AS1	12q24.11	1.21	0.10	0.37	0.30	1.11	1.182e-5	3.006e-3	(A) Immunomodulatory
SIT1	9p13.3	1.28	0.00	0.33	0.01	1.28	1.210e-5	3.037e-3	(A) Immunomodulatory
RAB37	17q25.1	1.10	0.01	0.29	0.04	1.09	1.307e-5	3.198e-3	(A) Immunomodulatory
SELL	1q24.2	1.48	0.03	0.40	0.07	1.46	1.369e-5	3.309e-3	(A) Immunomodulatory
LAP3	4p15.32	0.90	0.05	0.27	0.10	0.85	1.420e-5	3.353e-3	(A) Immunomodulatory
IL23A	12q13.3	1.04	0.01	0.28	0.03	1.03	1.424e-5	3.353e-3	(A) Immunomodulatory
GIMAP7	7q36.1	1.13	0.07	0.34	0.16	1.06	1.439e-5	3.353e-3	(A) Immunomodulatory
GBP1	1p22.2	1.26	0.20	0.24	0.40	1.05	1.482e-5	3.372e-3	(A) Immunomodulatory
CD3E	11q23.3	1.37	0.04	0.40	0.11	1.34	1.624e-5	3.611e-3	(A) Immunomodulatory
HLA-DRB1	6p21.32	1.05	0.14	0.31	0.28	0.91	1.675e-5	3.683e-3	(A) Immunomodulatory
PTPRCAP	11q13.2	1.45	0.04	0.41	0.09	1.41	1.770e-5	3.850e-3	(A) Immunomodulatory
CD38	4p15.32	1.61	0.01	0.45	0.04	1.60	1.876e-5	4.034e-3	(A) Immunomodulatory
CALHM6	6q22.1	1.43	0.27	0.36	0.42	1.15	2.069e-5	4.353e-3	(A) Immunomodulatory
FCRL5	1q23.1	1.45	0.07	0.44	0.16	1.38	2.075e-5	4.353e-3	(A) Immunomodulatory
IL3RA	Xp22.3 and Yp13.3	0.96	0.15	0.28	0.26	0.81	2.090e-5	4.353e-3	(A) Immunomodulatory
CD7	17q25.3	1.33	0.08	0.43	0.20	1.25	2.166e-5	4.463e-3	(A) Immunomodulatory
BIRC3	11q22.2	1.25	0.02	0.36	0.04	1.24	2.204e-5	4.493e-3	(A) Immunomodulatory
