drug_claim_name	nomenclature	concept_id	drug_name	approved	immunotherapy	anti_neoplastic	source_db_name	source_db_version
BRAF(V600E) Kinase Inhibitor RO5212054	Primary Drug Name	ncit:C92591	BRAF(V600E) KINASE INHIBITOR RO5212054	FALSE	FALSE	TRUE	NCIt	24.02d
clonidine hydrochloride	Primary Drug Name	rxcui:142432	CLONIDINE HYDROCHLORIDE	TRUE	FALSE	FALSE	RxNorm	20240401
clonidine	Primary Drug Name	rxcui:142432	CLONIDINE HYDROCHLORIDE	TRUE	FALSE	FALSE	RxNorm	20240401
Clonidine	Primary Drug Name	rxcui:142432	CLONIDINE HYDROCHLORIDE	TRUE	FALSE	FALSE	NCIt	24.02d
Clonidine Hydrochloride	Primary Drug Name	rxcui:142432	CLONIDINE HYDROCHLORIDE	TRUE	FALSE	FALSE	NCIt	24.02d
drugsatfda.anda:070886	Drugs@FDA ID	rxcui:142432	CLONIDINE HYDROCHLORIDE	TRUE	FALSE	FALSE	Drugs@FDA	20240410
drugsatfda.anda:070923	Drugs@FDA ID	rxcui:142432	CLONIDINE HYDROCHLORIDE	TRUE	FALSE	FALSE	Drugs@FDA	20240410
drugsatfda.anda:070974	Drugs@FDA ID	rxcui:142432	CLONIDINE HYDROCHLORIDE	TRUE	FALSE	FALSE	Drugs@FDA	20240410
drugsatfda.anda:070975	Drugs@FDA ID	rxcui:142432	CLONIDINE HYDROCHLORIDE	TRUE	FALSE	FALSE	Drugs@FDA	20240410
drugsatfda.anda:070976	Drugs@FDA ID	rxcui:142432	CLONIDINE HYDROCHLORIDE	TRUE	FALSE	FALSE	Drugs@FDA	20240410
drugsatfda.anda:076166	Drugs@FDA ID	rxcui:142432	CLONIDINE HYDROCHLORIDE	TRUE	FALSE	FALSE	Drugs@FDA	20240410
drugsatfda.anda:077901	Drugs@FDA ID	rxcui:142432	CLONIDINE HYDROCHLORIDE	TRUE	FALSE	FALSE	Drugs@FDA	20240410
