Gene	Cytoband	(A) BRCA_Basal	(B) BRCA_Normal	(A) BRCA_Basal	(B) BRCA_Normal	Log2 Ratio	p-Value	q-Value	Higher expression in
PRDM13	6q16.2	2.65	0.21	2.38	0.34	2.44	1.23e-27	2.46e-23	(A) BRCA_Basal
TNS2	12q13.13	9.36	10.93	0.76	0.47	-1.58	4.73e-27	4.72e-23	(B) BRCA_Normal
RFC4	3q27.3	9.59	8.17	0.78	0.44	1.41	3.60e-26	2.23e-22	(A) BRCA_Basal
GPN1	2p23.3	10.39	9.67	0.48	0.22	0.72	5.38e-26	2.23e-22	(A) BRCA_Basal
BBS4	15q24.1	7.58	8.50	0.63	0.28	-0.92	5.60e-26	2.23e-22	(B) BRCA_Normal
DAP3	1q22	11.88	11.04	0.54	0.26	0.84	8.02e-26	2.66e-22	(A) BRCA_Basal
SPARCL1	4q22.1	11.03	13.37	1.09	0.72	-2.34	1.11e-25	3.17e-22	(B) BRCA_Normal
RAI2	Xp22.13	6.34	9.03	1.22	0.83	-2.69	1.31e-25	3.27e-22	(B) BRCA_Normal
CT83	Xq23	4.98	0.50	3.32	1.39	4.48	2.54e-25	4.59e-22	(A) BRCA_Basal
NCAPD2	12p13.31	11.80	10.40	0.89	0.44	1.39	2.54e-25	4.59e-22	(A) BRCA_Basal
PRIM2	6p11.2	8.48	7.25	0.56	0.38	1.22	2.68e-25	4.59e-22	(A) BRCA_Basal
CCDC77	12p13.33	8.48	7.20	0.89	0.41	1.28	2.77e-25	4.59e-22	(A) BRCA_Basal
NOSTRIN	2q24.3	5.55	8.43	1.32	0.91	-2.88	9.01e-25	1.38e-21	(B) BRCA_Normal
RNF8	6p21.2	9.37	8.46	0.57	0.30	0.90	1.19e-24	1.61e-21	(A) BRCA_Basal
CTTNBP2	7q31.31	3.64	6.54	1.63	0.95	-2.90	1.21e-24	1.61e-21	(B) BRCA_Normal
NUDT5	10p14	10.57	9.34	0.74	0.40	1.23	1.38e-24	1.71e-21	(A) BRCA_Basal
SCN4B	11q23.3	5.90	8.66	1.43	0.90	-2.75	2.63e-24	3.08e-21	(B) BRCA_Normal
CDC123	10p14-p13	11.07	10.08	0.70	0.32	0.98	3.10e-24	3.43e-21	(A) BRCA_Basal
JAM2	21q21.3	6.26	8.36	1.19	0.70	-2.11	3.53e-24	3.70e-21	(B) BRCA_Normal
UBE2Q1	1q21.3	11.45	10.83	0.44	0.20	0.61	3.74e-24	3.72e-21	(A) BRCA_Basal
RBM17	10p15.1	11.30	10.45	0.62	0.28	0.84	4.04e-24	3.81e-21	(A) BRCA_Basal
MLPH	2q37.3	7.43	11.41	1.98	1.31	-3.99	4.20e-24	3.81e-21	(B) BRCA_Normal
THSD4	15q23	7.33	10.25	1.48	0.97	-2.93	6.00e-24	5.20e-21	(B) BRCA_Normal
SEPHS1	10p13	11.05	10.12	0.67	0.31	0.93	6.82e-24	5.66e-21	(A) BRCA_Basal
RHOJ	14q23.2	6.57	8.43	1.14	0.63	-1.86	1.23e-23	9.84e-21	(B) BRCA_Normal
MYH11	16p13.11	8.04	11.90	2.21	1.31	-3.86	1.55e-23	1.18e-20	(B) BRCA_Normal
SELENOP	5p12	10.84	13.08	1.52	0.76	-2.24	1.70e-23	1.25e-20	(B) BRCA_Normal
AFAP1-AS1	4p16.1	6.69	2.93	3.37	1.16	3.77	2.39e-23	1.69e-20	(A) BRCA_Basal
GINS4	8p11.21	8.85	6.91	1.00	0.66	1.95	2.46e-23	1.69e-20	(A) BRCA_Basal
HDGF	1q23.1	13.81	12.59	0.56	0.41	1.22	3.59e-23	2.39e-20	(A) BRCA_Basal
EID1	15q21.1	10.80	11.77	0.77	0.32	-0.97	5.14e-23	3.31e-20	(B) BRCA_Normal
PRICKLE2	3p14.1	7.76	9.67	1.19	0.67	-1.91	6.05e-23	3.77e-20	(B) BRCA_Normal
CKS1B	1q21.3	10.82	9.20	0.71	0.55	1.61	1.11e-22	6.52e-20	(A) BRCA_Basal
PDSS1	10p12.1	7.73	6.47	0.77	0.44	1.26	1.11e-22	6.52e-20	(A) BRCA_Basal
LMOD1	1q32.1	7.53	10.10	1.41	0.90	-2.57	1.30e-22	7.40e-20	(B) BRCA_Normal
EFCAB6	22q13.2-q13.31	3.11	5.44	1.36	0.82	-2.32	1.62e-22	8.80e-20	(B) BRCA_Normal
SPRY1	4q28.1	8.50	10.45	1.06	0.68	-1.94	1.63e-22	8.80e-20	(B) BRCA_Normal
COL14A1	8q24.12	8.87	11.96	1.83	1.09	-3.09	1.81e-22	9.48e-20	(B) BRCA_Normal
SUV39H2	10p13	8.87	7.51	0.76	0.48	1.36	2.58e-22	1.32e-19	(A) BRCA_Basal
SMG5	1q22	12.04	11.04	0.60	0.36	1.00	2.73e-22	1.36e-19	(A) BRCA_Basal
KLHDC1	14q21.3	4.22	5.92	0.90	0.60	-1.71	3.03e-22	1.47e-19	(B) BRCA_Normal
LIN28B	6q16.3-q21	2.29	0.11	2.40	0.48	2.19	3.33e-22	1.58e-19	(A) BRCA_Basal
CPE	4q32.3	9.47	11.35	1.34	0.68	-1.88	7.22e-22	3.35e-19	(B) BRCA_Normal
TSEN15	1q25.3	9.98	9.13	0.54	0.31	0.84	8.11e-22	3.67e-19	(A) BRCA_Basal
KCMF1	2p11.2	10.94	10.29	0.43	0.23	0.64	8.93e-22	3.96e-19	(A) BRCA_Basal
ENTREP3	1q22	10.48	9.35	0.75	0.41	1.13	1.11e-21	4.79e-19	(A) BRCA_Basal
USP39	2p11.2	10.75	10.10	0.47	0.24	0.65	1.14e-21	4.83e-19	(A) BRCA_Basal
FAM136A	2p13.3	10.49	9.56	0.59	0.34	0.93	1.34e-21	5.56e-19	(A) BRCA_Basal
DUSP6	12q21.33	9.58	11.24	1.24	0.60	-1.66	1.38e-21	5.60e-19	(B) BRCA_Normal
MAMDC2	9q21.12	5.07	8.17	2.20	1.14	-3.10	1.56e-21	6.23e-19	(B) BRCA_Normal
IGBP1	Xq13.1	9.69	10.49	0.55	0.30	-0.80	1.61e-21	6.30e-19	(B) BRCA_Normal
SSRP1	11q12.1	12.47	11.68	0.55	0.29	0.79	1.85e-21	7.09e-19	(A) BRCA_Basal
ANP32E	1q21.2	11.79	10.06	0.88	0.63	1.73	2.07e-21	7.79e-19	(A) BRCA_Basal
PRPF3	1q21.2	10.73	9.81	0.62	0.34	0.92	2.93e-21	1.08e-18	(A) BRCA_Basal
SRPK1	6p21.31	11.42	10.21	0.65	0.45	1.21	2.98e-21	1.08e-18	(A) BRCA_Basal
SLC40A1	2q32.2	9.31	11.94	1.39	0.97	-2.63	3.06e-21	1.09e-18	(B) BRCA_Normal
ZNF423	16q12.1	5.87	8.03	1.27	0.81	-2.17	3.49e-21	1.22e-18	(B) BRCA_Normal
ZNF280A	22q11.22	1.92	0.31	1.75	0.44	1.62	4.51e-21	1.55e-18	(A) BRCA_Basal
LHFPL6	13q13.3-q14.11	8.48	10.27	0.98	0.67	-1.79	4.59e-21	1.55e-18	(B) BRCA_Normal
UBAP2L	1q21.3	12.36	11.67	0.49	0.26	0.69	6.31e-21	2.09e-18	(A) BRCA_Basal
MAML3	4q31.1	7.19	8.67	1.10	0.55	-1.48	6.41e-21	2.09e-18	(B) BRCA_Normal
POU4F1	13q31.1	3.98	0.91	2.35	1.15	3.08	7.49e-21	2.41e-18	(A) BRCA_Basal
CAVIN2	2q32.3	5.54	8.61	1.54	1.15	-3.07	1.17e-20	3.69e-18	(B) BRCA_Normal
GMPS	3q25.31	11.33	10.20	0.59	0.43	1.13	1.28e-20	3.98e-18	(A) BRCA_Basal
BTNL9	5q35.3	4.96	7.67	1.63	1.04	-2.71	1.56e-20	4.80e-18	(B) BRCA_Normal
MASTL	10p12.1	9.32	8.23	0.77	0.42	1.09	1.88e-20	5.68e-18	(A) BRCA_Basal
